ev_bin,la_bin,dir_bin,xBA
94,4,-5,0.9375
84,6,-10,0.6
102,6,0,0.7
106,11,5,1.0
83,13,-45,1.0
76,46,20,0.2857142857142857
98,9,-5,0.972972972972973
80,43,15,0.0
85,16,-30,0.9
103,23,-30,0.8888888888888888
69,30,-40,1.0
90,-8,-15,0.11764705882352941
102,-10,0,0.42857142857142855
49,-26,-10,0.5
100,15,-5,0.41025641025641024
101,-2,-15,0.1111111111111111
69,3,10,0.0
82,4,25,0.2
102,15,-10,0.5869565217391305
91,11,-5,1.0
98,41,0,0.0
93,7,0,0.5263157894736842
61,14,-10,0.0
100,-2,-5,0.7
90,-4,-20,0.0
90,-7,-40,0.06666666666666667
112,1,-10,1.0
99,45,15,0.0
102,8,-20,0.5217391304347826
84,16,-25,1.0
102,20,-25,0.46153846153846156
96,2,-15,0.16129032258064516
63,-66,-115,1.0
92,49,-10,0.0
98,15,-10,0.6086956521739131
93,1,10,0.29411764705882354
67,-57,-40,0.0
104,-13,-5,0.3333333333333333
89,16,-15,0.8333333333333334
101,-3,0,0.6428571428571429
84,37,20,0.0
94,-6,-20,0.045454545454545456
95,5,-10,0.8275862068965517
89,31,0,0.0
79,10,-15,0.3333333333333333
92,11,20,1.0
68,42,-15,0.3333333333333333
65,49,-30,0.0
26,5,-15,0.0
88,-14,25,0.7142857142857143
74,-65,-175,0.0
55,7,15,0.0
88,50,30,0.3333333333333333
98,-4,-25,0.4
63,-43,5,0.0
74,36,-25,0.0
85,19,5,0.6666666666666666
64,-36,-25,0.0
54,-57,-95,0.0
87,0,-20,0.0
79,-17,5,0.0
85,-18,-30,0.2857142857142857
87,57,-30,0.0
80,39,-10,0.0
83,-31,-20,0.25
52,-61,5,0.0
89,9,-35,0.13333333333333333
82,14,-25,0.8888888888888888
33,-13,10,0.0
98,1,5,0.5
99,5,-5,0.7894736842105263
98,19,-5,0.125
97,25,5,0.4666666666666667
84,63,5,0.0
93,17,0,0.6111111111111112
94,25,5,0.25
80,-14,-50,0.0
98,-1,10,0.21052631578947367
66,71,35,0.0
91,1,-35,0.07692307692307693
91,15,-30,0.9545454545454546
96,22,-5,0.034482758620689655
99,14,25,1.0
84,-14,-55,0.0
97,-1,-10,0.5384615384615384
82,9,-25,0.9285714285714286
80,9,5,0.2857142857142857
81,-23,-45,0.0
64,-16,-30,0.0
87,13,-20,0.6875
81,-26,-20,0.14285714285714285
94,23,20,0.23809523809523808
63,-41,30,0.0
90,26,-35,0.7142857142857143
60,-78,155,1.0
91,-14,-35,0.3333333333333333
94,41,-10,0.0
14,-48,45,1.0
85,-11,-40,0.0
65,-56,-180,0.0
96,-17,20,0.16666666666666666
78,27,5,0.3076923076923077
80,11,-15,0.125
97,-19,-10,0.5555555555555556
93,7,-20,0.17647058823529413
53,-27,-175,0.6666666666666666
97,7,-45,0.6666666666666666
80,-6,-30,0.16666666666666666
88,16,-5,0.8666666666666667
87,17,20,0.6666666666666666
99,0,-15,0.18181818181818182
89,21,5,0.4230769230769231
84,29,0,0.0
41,-51,25,0.0
98,9,0,0.6216216216216216
87,-12,-15,0.0
99,32,-5,0.32
